"Analysis","Moderator","Variable","N","b_coefficient","SE","df","p_value","CI_lower","CI_upper"
"2way_sis","year","year_continuous",26,-0.008484,0.004806,10.8587,0.105588,-0.019078,0.002111
"2way_sis","country","country_binary",26,-0.253862,0.100417,12.3616,0.026018,-0.471945,-0.03578
"2way_sis","age_t1","age_t1",26,-0.008255,0.010725,1.8141,0.52899,-0.05924,0.042731
"2way_sis","age_t2","age_t2",26,0.001548,0.00928,2.9041,0.878428,-0.028545,0.031641
"2way_sis","t2_measure","t2_measure",26,-0.053321,0.090682,1.2081,0.647327,-0.827851,0.721209
"2way_sis","sample_risk","sample_risk_binary",26,0.057224,0.117695,6.5947,0.642556,-0.224585,0.339034
"2way_sis","prior_meta","prior_meta_binary",26,-0.16037,0.074749,4.2214,0.094879,-0.363682,0.042943
"2way_sis","assessment_interval","assessment_interval",26,0.000211,0.000811,2.8785,0.812624,-0.002433,0.002854
"2way_sis","published","published_binary",26,0.035851,0.120886,12.5233,0.771659,-0.226323,0.298024
"2way_od","year","year_continuous",13,-0.001312,0.004294,3.9335,0.775453,-0.013315,0.010691
"2way_od","country","country_binary",13,-0.089446,0.016601,4.1885,0.005027,-0.134731,-0.044161
"2way_od","age_t1","age_t1",13,0.005364,0.00081,1.4088,0.049685,2.5e-05,0.010703
"2way_od","age_t2","age_t2",13,0.007439,0.006505,2.1207,0.365462,-0.019079,0.033957
"2way_od","sample_risk","sample_risk_binary",13,-0.044839,0.051282,3.1669,0.443179,-0.203281,0.113603
"2way_od","assessment_interval","assessment_interval",13,3.3e-05,0.000961,2.4247,0.975445,-0.003481,0.003547
"2way_od","published","published_binary",13,0.050802,0.037634,3.9743,0.2488,-0.053952,0.155557
"3way","year","year_continuous",12,-0.014443,0.004623,2.7797,0.057924,-0.029837,0.00095
"3way","country","country_binary",12,-0.170527,0.110552,2.1282,0.255588,-0.619766,0.278711
"3way","age_t1","age_t1",12,-0.006641,0.006435,1.3612,0.450846,-0.051398,0.038115
"3way","age_t2","age_t2",12,0.007914,0.026162,1.3169,0.803081,-0.184127,0.199954
"3way","sample_risk","sample_risk_binary",12,0.015623,0.162807,3.87,0.928314,-0.442454,0.4737
"3way","assessment_interval","assessment_interval",12,0.00092,0.002459,1.5493,0.752985,-0.013231,0.015072
"3way","published","published_binary",12,0.224903,0.158082,3.8782,0.230032,-0.219496,0.669302
"4way","year","year_continuous",13,-0.000916,0.002265,3.5827,0.708752,-0.007504,0.005671
"4way","country","country_binary",13,-0.047553,0.013675,3.8983,0.026488,-0.085915,-0.009192
"4way","age_t1","age_t1",13,0.000442,0.000818,1.4294,0.661203,-0.004836,0.00572
"4way","age_t2","age_t2",13,0.003849,0.004482,2.2032,0.473597,-0.013826,0.021525
"4way","sample_risk","sample_risk_binary",13,0.010276,0.031343,3.3766,0.762312,-0.083463,0.104015
"4way","assessment_interval","assessment_interval",13,0.000258,0.000387,2.3885,0.563938,-0.001172,0.001687
"4way","published","published_binary",13,0.010711,0.02636,3.3593,0.709029,-0.068324,0.089745
"ssp_only","year","year_continuous",24,-0.010072,0.005434,9.9347,0.093699,-0.02219,0.002046
"ssp_only","country","country_binary",24,-0.279327,0.114757,10.8521,0.033445,-0.532326,-0.026328
"ssp_only","age_t1","age_t1",24,-0.009131,0.010638,1.6385,0.497816,-0.066084,0.047823
"ssp_only","age_t2","age_t2",24,0.012769,0.013186,3.7626,0.390897,-0.02477,0.050308
"ssp_only","sample_risk","sample_risk_binary",24,0.057009,0.123568,6.8604,0.658812,-0.236392,0.35041
"ssp_only","prior_meta","prior_meta_binary",24,-0.169817,0.07602,2.4248,0.132515,-0.447692,0.108058
"ssp_only","assessment_interval","assessment_interval",24,0.00129,0.001185,3.9176,0.338721,-0.002027,0.004607
"ssp_only","published","published_binary",24,0.019211,0.132735,11.0077,0.887541,-0.272913,0.311334
"aqs_only","year","year_continuous",2,0.008169,0,NA,NA,NA,NA
"aqs_only","age_t1","age_t1",2,0.010892,0,NA,NA,NA,NA
"aqs_only","age_t2","age_t2",2,-0.010892,0,NA,NA,NA,NA
"aqs_only","prior_meta","prior_meta_binary",2,-0.130709,0,NA,NA,NA,NA
"aqs_only","assessment_interval","assessment_interval",2,-0.000838,0,NA,NA,NA,NA
"aqs_only","published","published_binary",2,0.130709,0,NA,NA,NA,NA
